bedrooms,area,bathrooms,price
3,1672,3,15000000
3,1750,3,14900000
3,1750,3,15000000
2,1250,2,4000000
2,1200,2,8300000
2,1170,2,4000000
3,1425,2,6500000
2,947,2,4300000
2,1130,2,3600000
3,1417,2,7600000
2,1230,2,5800000
3,1705,3,7500000
2,1116,2,4700000
2,991,2,4000000
1,550,1,2700000
3,1450,2,7000000
1,700,1,2550000
1,440,1,2800000
1,510,1,2525000
1,510,1,2525000
3,2400,2,48000000
4,2850,4,42800000
3,1630,3,19400000
3,1875,2,23500000
3,1200,2,13000000
2,1235,2,14800000
4,2750,4,41300000
4,2450,4,36800000
2,1415,2,11000000
2,860,2,6550000
4,3000,3,30000000
3,2350,3,21000000
4,3000,5,50000000
3,1875,3,16700000
5,1500,5,8500000
3,2065,4,21000000
3,2059,3,22500000
2,1394,2,10000000
2,1077,2,9300000
2,1566,2,18000000
1,840,2,5000000
3,1590,3,13100000
3,2180,3,21000000
2,1180,2,8850000
2,1200,2,8600000
2,1394,2,8500000
3,2077,3,17500000
2,1205,2,8500000
2,900,2,7500000
3,1450,2,5075000
2,1150,2,4025000
3,1350,2,4725000
3,1350,2,4725000
2,900,2,4100000
3,1681,3,6900000
3,1350,2,4725000
2,1150,2,4025000
4,1500,4,22000000
4,1350,4,20000000
4,1200,4,22500000
4,1500,3,23000000
2,1206,2,5600000
3,1270,2,7000000
2,1312,2,6900000
2,1100,2,4800000
5,3600,5,13000000
6,5100,5,30000000
2,1075,2,6000000
2,1150,3,5250000
2,1256,2,6280000
2,1207,2,6300000
3,1725,2,10000000
2,1440,2,6000000
3,1700,2,10000000
5,2500,5,11000000
1,600,1,3000000
2,1390,2,6500000
2,1256,2,6280000
2,1000,2,4800000
3,1350,2,7500000
1,552,1,2350000
2,1200,2,5100000
2,1030,2,5700000
2,1200,2,6800000
2,1190,2,6180000
5,4000,5,17000000
2,1080,2,5300000
2,1041,2,5400000
2,812,2,4200000
2,1010,2,5700000
2,1075,2,6000000
2,1192,2,7400000
2,1180,2,8000000
4,3245,4,25000000
3,1645,3,10000000
2,1140,2,6500000
3,2040,3,20000000
2,1213,2,6300000
2,1216,2,6000000
2,1460,2,8000000
3,2003,3,20000000
3,1810,3,13100000
3,1515,2,13500000
2,1192,2,7500000
2,1280,2,8800000
2,1080,2,7200000
2,1270,2,9300000
3,1420,2,10000000
3,1850,3,15000000
2,1245,2,9400000
